text_chunk,sentiment
"i am a lover of coffee and will try almost any coffee product once. i own a coffee pod maker at work, and i have been using senseo's medium roast and espresso pods for a few months, but after trying marley coffee, i do not think i can go back to senseo. i am not demeaning senseo's quality, but i am certainly highlighting my preference for marley coffee. i will admit that when it comes to pod coffee, i do not expect much, and that's probably why i have stuck to only one brand; marley coffee, however, went beyond my expectations. i like my coffee strong; therefore, i recommend one pours no more than 6 oz. per pod for a strong flavor (this is coming from a person who drinks `straight' coffee; i never add other ingredients or sweeteners)). on a side note, there was no particular exotic/fruity taste to this coffee, but the overall quality met my expectations and passed the ""will continue to buy"" test. other perks: it's organic, natural, and tasty, which, in my book, is worth the price.",positive
"this coffee, but the overall quality met my expectations and passed the ""will continue to buy"" test. other perks: it's organic, natural, and tasty, which, in my book, is worth the price.",positive
in the uk this is one of the most popular chocolate bars. it is a light honeycomb bar covered in cadburys milk chocolate. if you like toffee and chocolate you will love these!,positive
my daughter bought a keurig coffee maker for my husband for christmas. his favorite coffee is starbucks house blend so when i found that i could get the k cups i decided to get several for him for christmas. they arrived very quickly and were just as described. he has been enjoying his coffee so it must be good.,positive
"simply awful. this product should be taken off the market immediately. they did absolutely nothing for my 2-yr old dog's teeth. i gave him about 4 per week until he almost choked to death on about the 10th one. awful, dangerous product, simple as that.",negative
"i would give it. this hot sauce is the best hot sauce that has ever been made with human hands. to compare this to tabasco is an utter mockery, but that is the most common ""hot sauce"" that most americans have experienced, so that is the one that i will compare it to. anyone that would try to genuinely compare the two should have a cat scan done. a 7 out of 10 as far as hotness, tapatio can go on anything that you need to make spicy and tasty. try putting a couple of squirts of this mexican nectar in a bag of doritos and you will not be able to put them down. buy the 32 oz. size, you will not regret it!",positive
"luckily this is available locally so i got to try it without ordering a whole case. i find it absolutely delicious. so far it got used to make a black rice with dried cranberry dish, very simple. tomorrow a pumpkin curry soup, then i think a chicken curry the next day. i'm looking into making my own coconut milk so i don't have to worry about using a whole can before it goes bad, but meanwhile i am delighted with this brand in both taste and consistency.<br /><br />and let me not forget to praise the manufacturer for resisting the temptation to add those poisons people think are preservatives (particularly sodium metabisulfite). i'd rather there were no guar gum, frankly, but was unable to find any without that at local supermarkets.",positive
"this oatmeal is great. i eat it almost every morning. the brands in the stores i was buying had changed the texture and i did not like them anymore. i coould not find an oatmeal i liked so i stopped eating oatmeal..... until i found out about mccann's. the cost is the same as in the store and with free shipping from amazon, i don't lose out at all.",positive
satin ice is the best tasting fondant i can find on the market. it's a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant.,positive
"i never saw this gift basket myself nor tried any goodies from it. i bought it to say ""thank you"" to my business associate.<br />the recipient liked it, so i think i will purchase it again in the future. it is priced fairly and it is a nice way to express your gratitude.",positive
unbeatable little tool for making shredded green papaya salad. i use it to shred many different not-so-ripe fruits and veggies besides papaya. better than the typical cheese grater for shredding because it doesn't bruise the fruit/veggie. i highly recommend this tool.,positive
"it sure would be nice if they stated anywhere in the description of this coffee that it is flavored. i love the bed and breakfast coffee, it's just plain coffee, so i was surprised when i received the jamaica coffee and it was flavored. yuck!",negative
i had a salad in a restaurant for lunch and went crazy over the roasted raspberry chipotle vinaigrette dressing. i decided to recreate the salad myself at home. the salad dressing i found in my search on the internet was the fischer & wieser roasted raspberry chipotle vinaigrette dressing. it is absolutely fabulous! i have made the salad many times and for friends and have had to order extra bottles since i got them hooked on it too. this salad dressing will not disappoint and deserves a five star review!,positive
i was so happy to see this deal. i recently have been using alot of pumpkin. i was so excited to see an organic product that i could actually afford! i look forward to using it in many recipies.,positive
"very hot, but smooth, great consistancy, for use with most korean cusine. just a dab will do, you don't want too much. this items is tasty, but extremely hot. great side with most korean dishes",positive
"okay, i jumped the gun, because they were sending me the review information, before i received my chips, so i thought i would be honest, and indicate that i have not received them, and i wasn't happy about not receiving them. however overall, the service is not bad, and my chips are on the way.sorry guys, they really are not bad people, i am just an impatient buyer... there, is that better?",positive
"disappointingly, this is imitation almond extract and a terrible value. the $0.65/oz price is also quite deceiving and misleading. that fact that this is an imitation product was not made clear in the description. i bought this only because i needed a filler item to reach my free shipping, but will not make that mistake again.<br /><br />comparatively, [...] currently is selling top quality 100% pure almond extract for only $6.69/4 oz. lesson learned... the hard way.",negative
"i've tried several brands and flavors of ground coffee from amazon, and this is by far the.best.coffee.i've.had. i decided to write a review because last weekend my husband made me a latte, and it was yummy. i asked for a second one, and what he gave me was not what i had the first time. i asked him what was different, and he told me he used a different brand and flavor. he was really surprised that i could tell. the one that i loved was the lavazza crema e gusto. wow. what a difference. it's smooth and full bodied - okay, i'm full of crap. i have no idea what ""full bodied"" is other than a fat chick. but i can tell you this -- this coffee is tasty and you will not regret buying it.<br /><br />i bought it in january because there was a deal going on - $12 for 4 bricks. but here i am willing to pay $15 for 4 bricks (s&s price) less than 2 months later. i wish i had stocked up when it was cheaper, but who knew the coffee was going to be that good! it's so worth even $18 for",positive
"- $12 for 4 bricks. but here i am willing to pay $15 for 4 bricks (s&s price) less than 2 months later. i wish i had stocked up when it was cheaper, but who knew the coffee was going to be that good! it's so worth even $18 for 4 bricks!",positive
"i bought this item for my dog to play with. she was smart and can get out all the food in it. initially i like it since it was entertaining for my dog. however, my dog quickly chewed open the rope - only the 3 time i used it.<br /><br />i think there is a problem with the design - it will be great if the rope can be replaced with some better material so it does not get chewed immediately.<br /><br />i asked some dog friends and they pointed out the same problemm. i would not recommend this item for dogs who chew. well, most dogs chew, so...there are many other interactive toys that you can try.",negative
"this tea has a nice mellow taste. it is not at all dusty and doesn't leave a bitter taste in your mouth, as is common with a lot of teas. will definately buy more in the future. the box is very nice and i would feel comfortable giving this as a gift.",positive
"this is the best red curry, don't waste your time on the cheap imitators. mix with cocunut milk and real palm sugar + chicken and veggies and you will amaze your friend and families. this is great red curry paste!",positive
"i'd received a sample of stash's english breakfast decaf with a previous order from stash's website, and i knew it was good (for decaf tea, which is always missing something -- i think it's the caffeine.) the price on this multipack was so good, that i could give a couple boxes away (which i did, cause i can't go through that much decaf tea in a year) and still save money over buying it in the supermarket.",positive
"i can't think of anything bad to say about this coffee. every guest we have had enjoys it. i'm not much of a hazelnut person, but it tastes pretty good to me.",positive
"i ordered these when i found out the morningstar farms veggie dogs are no longer available. after reading about 100 reviews, i decided to try this variety. we have been vegetarian for 12 years, so i am used to the faux meats. some i like, some i don't. i loved morningstar veggie dogs, they were my absolute favorite. most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them! these veja-dogs are ok on taste, but i do not like the texture. it is a lot like that of a hard boiled egg white. when i first got one out of the can i did not want to even try one. it was squishy and had tiny dark brown spots. the syrupy stuff they are stored in really grossed me out too. i have eaten about 5 now and am still not crazy about them. my son however loves them. he says they are his favorite. i will try another worthington veggie dog (super links or linkettes) before giving up on the ""canned"" dogs all together. i hate onions, but i prefer the texture of the tofu dogs found in the grocery store.",neutral
"about them. my son however loves them. he says they are his favorite. i will try another worthington veggie dog (super links or linkettes) before giving up on the ""canned"" dogs all together. i hate onions, but i prefer the texture of the tofu dogs found in the grocery store.",neutral
"edit: i've given this three stars vs my previous 1 star when i was told the can was not meant to brew tea in. i still would prefer a ""total travel solution"", then it would have been 5 stars.<br /><br />original post: the can to brew the tea leaks. i sent the first one back thinking maybe it was defective. the second one leaked also. and, the can gets super hot, to the point of not being able to pick it up. i also posted this review on the teavana website, it has not been posted....just an fyi about neg reviews sent to them.",neutral
"after a lot of research, i decided to switch my 3-yr old doberman from iams to canidae and have been very impressed with the product. samson loves this stuff too, with the iams i had to entice him to eat by mixing it with canned food/tablefood, but with the canidae, he eagerly wolfs it down by itself. and why not? the first 4 ingredients are all meats- human-grade at that! besides having less ""filler"", canidae uses no corn products, which is good for dogs with allergies (corn is a common allergen in dogs). some may balk at the price, but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff. besides, canidae is considerably cheaper then most of the other top-shelf brands like eagle pack or flint river. i'm just happy to be able to feed my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like iams or pro plan. when you look at it like that, i believe it's one of the best values in pet nutrition on",positive
"my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like iams or pro plan. when you look at it like that, i believe it's one of the best values in pet nutrition on the market today.",positive
"i bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread. it is absolutely delicious and very healthy. it's more like a jelly but i am willing to compromise given the nutritional value. real apple butter is higher in everything ... calories, fat, sugars, etc. my next purchase will be a case of it!",positive
"my cat loves this stuff! the nutrition is fair and it has alot of juice in the packet. it is a mixture of chunks of meat along with some shreads. it looks like real shreds of chicken. the sale price here at amazon was awesome - less than half the price at my local stores for a whole case.<br /><br />i never have any trouble getting all of the food out of the pouch - it all slides right out. this particular flavor though for whatever reason does have a bit more product in the pouch and to make things easier when opening, i usually just cut the top off (to avoid any messes while tearing open) or, i tear from one side half way and then from the other side the rest of the way and the entire top comes off then. if there are any dribbles then, it is just a tiny bit on the side of the pouch and not on my hands at all and i do not get splattered with it. for some reason, the top usually never tears cleanly the whole way across if you try to tear it from one side only and",positive
"is just a tiny bit on the side of the pouch and not on my hands at all and i do not get splattered with it. for some reason, the top usually never tears cleanly the whole way across if you try to tear it from one side only and it can be a little messy if you're in a hurry. it is not like it makes a huge mess though anyway, just a few drips here and there maybe. cutting the top off instead of tearing it solves that though.<br /><br />the other whiskas pouches that i like to use are the choice cuts varieties. they have nice big chunks in them instead of a bunch of mush or all shreds. my cat likes the chunkier ones better.",positive
"i'm not generally a fan of hot sauces. however, when i initially came across this in a diner i gave it a sniff, and it smelled promising. it was quite good with my steak that morning. now that i have it at home, i will admit it's a touch salty, but the flavor is quite savory in comparison to your run-of-the-mill hot sauces.",positive
"i recently bought some of this at a local market. i decided to try it because for quite some time now i have purchased morton's light salt to cut down on the some of the sodium i take in. this diamond crystal blend is not only cheaper than the morton's for a generous amount more, but it also taste better in my opinion. like the morton's, it contains a full one third less sodium. but where the morton's uses the popular substitute potassium chloride that has a slight metallic taste to it, the main substitute ingredient in this diamond chrystal blend is silicon dioxide, which to me has a much more natural salt taste. i prefer it over the potassium chloride, and as already mentioned, you get more for your money with this blend making it a sure deal. it took me no time at all to get used to it, and i use it in my cooking as well as in the shaker as well. if you have trouble finding it locally, i suggest you pick it up by the case here on amazon and you will be set for a year or more. a real good salt substitute,",positive
"it, and i use it in my cooking as well as in the shaker as well. if you have trouble finding it locally, i suggest you pick it up by the case here on amazon and you will be set for a year or more. a real good salt substitute, (that does contain real salt as well) that i recommend...",positive
"if you're looking for a yummy treat for your cat, try these. after trying both the chicken and salmon flavors, my cats greatly preferred the chicken. in fact, they love them. these treats are 100% white-meat chicken, so you'll be giving your cat a truly healthy treat instead of one that's loaded with carbs and fat. i will definitely buy these again.",positive
this is my favorite tea. it has that lovely flavor and aroma of ceylon tea. i drink way too many cups of it each day! i only wish they had a decaf version.,positive
"i like this product enough that i used to buy at least a bottle a week locally - mostly to flavor my mineral water and ice tea, while adding some vitamin c. i was scared to mail-order a 12-pack of glass bottles filled with liquid. i envisioned disaster. not to worry. they were set in a special foam spacer insert and well-protected. they all arrived intact. the package was still easy to open. the price is really good. i would not hesitate to order again. good job!",positive
"i've noticed that with a lot of products on the market today- cereals and snack items like these soynuts, the quality of the food is increasingly subpar, i.e. there are almost always a few grains or other items/detritutus in the package that should not be there. a few of these beans, for example, look like they were dried w/ tiny black spots from dirt or perhaps insects? some might attribute this to the fact that these beans are a product of china and while i do not think that its origins are the primary source of the problem, it might explain in part the low quality of the edamame. these green babies are tasty enough although the punch of the wasabi is low. texture is reminiscent of freeze dried food but more solid. for me, the sodium level is just about right but i happen to believe that most products are too salty and that high sodium levels may have as much to do with american's expanding waist lines as hfcs. but back to the product at hand- would i order these again? maybe, but i am more careful about each bean i pop into my mouth now. as a",neutral
"are too salty and that high sodium levels may have as much to do with american's expanding waist lines as hfcs. but back to the product at hand- would i order these again? maybe, but i am more careful about each bean i pop into my mouth now. as a highly allergy sensitive individual, i can't afford to down bad beans no matter how tiny the black dots are.",neutral
"with a legendary name like gevalia, i was disappointed to find that the coffee contains artificial flavors. the outside packaging looks gourmet and epicurean, with gold lettering. unfortunately, artificial flavoring also plainly occupies the front face.<br /><br />the aroma from the coffee is quite pleasant, however, after brewing, the coffee itself is nothing to write home about. in fact, it tasted rather bitter.<br /><br />i would not buy this item.",negative
"i drank this tea at least 4 days a week during the last 6 weeks of my pregnancy. i wish i did it the entire last trimester and everyday! i had a 6 hour natural labor and delivery and i only pushed for 15 minutes. my contractions, even at their most intense, only felt like strong menstrual cramps. i brewed my tea double strength and then drank it with lemonade. delicious and refreshing! even on it's own as a hot tea, it's pretty palatable. my last trimester was in the summer though, so i always drank it iced. i also used evening primrose oil suppositories for the last 5 weeks. i really believe that these two factors are the main reason why my labor and delivery was so fast and easy!",positive
"these taste really great in smoothies! they add a creamy texture and a bit of a nutty flavor. what a great way to add protein to a veggie diet! love them. they arrived fresh and packed nicely. if i ever run out of my 3 lb, i will order again from this seller.",positive
"i bought the jumbo-size bars and love being able to help myself to one at home whenever i'm in the mood. it's that combination of sweet caramel center and salty, crunchy peanut coating that does it for me. the boxful arrived promptly and the contents were fresh and delicious, but since every bar is wrapped in plastic, they stay fresh too. really a fun buy.",positive
"i have been using nutiva coconut oil for over a year now and i love this product, the texture, the taste.. wonderful and light and delicious ... i have tried other brands but they have a funny after taste. i substitute coconut oil for all my cooking and baking if i can.. i use half and half with butter to cut down the cholesterol but still get a buttery taste, i float a teaspoon on my hot chocolate for quick morning energy (divine) .. i pop the pop corn in my ""whirly pop"" machine... yummy.",positive
i bought this online because i couldn't find it anywhere in the stores. the packets are easy to use and i keep several in each purse so they're always at hand. they spruce up the h2o in my water bottles and can even keep the tab at a restaurant a bit lower (if you dare !!!) lol,positive
"i bought this because i'm a type 2 diabetic on byetta. i use it on my oatmeal and on fresh grapefruit. i havent used it on anything else yet, but i plan to try it when i bake some granola. its very sweet with no aftertaste. it also doesnt affect my blood sugar. great stuff.",positive
"i absolutely love this product and most of the flavors. it is not sold in stores by me any longer, so was delighted to find it here. much better than the same type of drink sold by the other big name company's.",positive
"i almost do not want to purchase green and black chocolate as i cannot stop at one piece but devour the entire bar. all their chocolate has this effect on me but particularly this almond one as the almonds are whole, not pieces, and the chocolate is so smooth that it truly melts in your mouth. i consider it health food as it has almonds, right.",positive
"i am the family butcher who at home, salt-cures and smokes the bacons, hams and variety meats for my family and a few friends.<br />this salt cured cod was bought online again, as this cod is not on my grocer's shelf.<br /><br />a simple man's recipe;<br />rinse 1/2 the cod, then with a sturdy knife, cut the cod into polite size pieces.<br />in a large bowl, cover the cod with water and refrigerate. change water and turn cod twice daily, until you soak out enough salt, taste the salt level after 4th water change.<br /><br />in a large skillet, melt a stick of butter.<br />drain a jar of roasted sweet peppers and cut into polite size pieces.<br />add cod and peppers to the warm skillet.<br />bring to slow simmer for 10 minutes.<br /><br />serve with jasmine rice or a baguette type bread.<br />leftovers reheat quite well.",positive
my dog just smells the food and walks away. we have tried wetting the food mixing tuna fish water drained from the canned tuna.<br />just something about the content that gives the food an smell lexie doesn't care for.<br />our dog is thirteen years old and is spoil to one type of dry dog food.<br />we can not recommend this product.,negative
"i am totally addicted to popchips! this is a very plain flavor, but tasts ok - it is not my favorite but i can eat them. it tates better than a plain chip - not greasy or anything. around 100 calories and 3 grams of fat is still a very good snack, in my opinion. i would buy these again.",neutral
"to be honest i'm not a huge green mountain roasters fan, and i'm from vt so i've tried just about every flavor they've come up with at one point or another, but i love their island coconut, and it drives me crazy that their best flavor is only available during the summer...or at least from them. amazon, however, seems to have it all the time, i suspect someone over there loves this flavor as much as i do. if you like coconut and coffee you have to try this one, it's like being on a tropical island.",positive
"my indoor cats were initially wary - but the third time i served it, they ate it with relish - and have ever since. the outdoor cats [all volunteers, now neutered] took to it right away.",positive
"i grew up getting jelly rings from the dept store candy counters, but they are increasingly hard to find. i ordered these hoping they would be the same, but they are not. these are a dark chocolate (i'm not a fan of dark chocolate), and even taste a little old or stale. the raspberry filling is not as sweet as i expected either.",negative
"i was definately expecting a better product from earth's best. however, these biscuits were not good at all. my son who only has 2 teeth broke these very easily. i will not be buying them again.",negative
"these pods do not fit in the senseo machines. the lid will not shut with just a single pod in the holder. my husband did manage to shut the lid but then the coffee leaked out the sides of the machine because the seal couldn't properly close around the pod. packaging says ""fits all coffee pod brewers!"" and it is a total lie.",negative
we use chicken bouillon in a lot of our home cooked meals.<br />finding organic bouillon is oft times a challenge and so we were pleased to find this product.<br />it doesn't need refrigeration and mixes easily into recipes.<br />the taste is great too.<br />just be aware; if you're transferring the powder out of it's very nice foil packet (into a glass jar for example) that you remember that it's powder.<br />otherwise you might end up with powder all over your counter top as opposed to in the container.<br />powder.,positive
i bough this as a stocking stuffer gift for christmas. was very disappointed in how tiny the item actually was. felt item had been overpriced once received. also felt item's shipping cost was overpriced for an item that was so small and shipped in a small envelope.,negative
this is the most tasty protein bar i have ever had. i introduced to people at work and some of them just get hooked. it is not as chalky as other and tastes like real chocolate wafer.,positive
"my family loves this soda. we sometimes buy it from a nearby grocery store. however, i had it shipped from amazon and it is no good. i believe that somewhere in the process of getting to my home the zevia orange may be getting too hot. it was very hot weather the first time it was shipped to me. it really tastes weird...not like when we buy if off the shelf. i tried again in cold weather this time and though it's not as bad, it is still no good. it has an odd bite to it that i assume comes from it getting too warm. it alters the beverage and cooling it in the frig does not reverse it.",neutral
"i very much enjoy dark roasts. the challenge i find is that many of them are either burnt or overly bitter from poor roasting. this coffee does a very good job of being a strong dark roast that is full of flavor without any hint of burnt or bitter flavors. it is very dark and oily and the small portion that did not fit in my airtight container dried out a bit and was not as strong flavored. that took over 3 weeks though due to the volume of coffee and it was still better than other dark roasts i have tried. i have used this for guests to eat with pies and cake over the holidays and all of them commented on its excellent flavor. a couple who don't really like dark roast did request some cream, but still gladly had multiple cups.<br /><br />i would recommend this to anyone who:<br /><br />1. likes dark roast coffee<br />2. doesn't know, and wants to try it<br />3. wants to change it up from a medium, or god forbid, a light roast.<br /><br />it is a good quality product made more so because of the cost",positive
"anyone who:<br /><br />1. likes dark roast coffee<br />2. doesn't know, and wants to try it<br />3. wants to change it up from a medium, or god forbid, a light roast.<br /><br />it is a good quality product made more so because of the cost",positive
"too soft: i just used this sugar to bake one of the layers for a firm pound cake-like layer cake intended for decoration (wilton butter cake recipe). this is a pretty hardy cake and can stand up to changes in temperature etc and still turn out well. i had already baked several of the layers with regular granulated sugar before i ran out and decided to use some of this baking sugar. be forewarned, this sugar makes cakes far too tender. the layer literally fell apart coming out of the pan and it was well cooled and in a pan liberally covered in cake release. even when i was mixing the batter, it for some reason stuck to my stainless bowl and was impossible to scrape entirely out. i'm sure this is good for meringues and such, but i would never attempt to use it again for a cake or even cookies. you would never get them out of or off the pan.",negative
"i was very pleased with the price, quality and taste of this coconut. i consume a lot of it by the spoonful and this was definitely the best value i could find.",positive
"i have just brought one small package of canidea from my oversea agent 2weeks ago, before my puppy only tried a french brand. first i was just mixed them together and seems ok, but then the old finished there is something weird happened to her, she started eating the stools??!! >:( yes and also vomited white yellowish foam and coughing after totally swished into this brand, even sent her to vet checking blood, taking pills and medical treat which i was thinking she might catch cold. anyway only feel lucky is vet cost much cheaper here...<br />then now she refuse to eat it or only a little if really hungry. most of time she'd rather biting a bone, glad saw the comments here, i will change it to other brand asap :)",negative
"switched to canidae from sciencediet after reading about dog foods on the internet. i haven't noticed any major differences in the dogs habits or frequencies, other than her eating habits. before, she acted very finicky and sometimes would take all day to finish one bowl of food. now, she eats the whole helping in less than 30 seconds. she really seems to like this food. i will be sticking to this brand it looks like.",positive
i bought these years ago at walmart<br />and then they stopped carrying them. i was searching the internet and found them at amazon. we ordered a box of each. i like the spicy and my husband likes the orginal. a learning process will be a sure thing until you figure out how many minutes for your microwave. they are great and we love them.,positive
"my son is allergic to milk and soy. we have tried hemp milk, almond milk, and rice milk. by far this is his favorite. we use vanilla for almost all purposes and keep some 8oz boxes of original on hand for mashed potatoes and the like.",positive
"these used to almost never be in stock. inventory has improved, making them more predictable. it is a delicious flavored coffee, not too much flavor since i normally drink my coffee black. quite good, give it a shot!",positive
"found it at whole foods. it doesn't taste much like coffee but it's good in a different way, and definitely has similarities. i was expecting to have to put milk and maybe sugar in it like i do with coffee (not a fan of black, sorry) but i'm really liking it plain. might change it up eventually, but on its own it's very good, a unique and interesting flavor. a little burnt. i like burnt.",positive
"flaked fish and shrimp most likely has the best ingredients in fancy brand. as another review pointed out, it's 15% more protein. not only that, if you look at the ingredients list, you can see ""ocean fish, fish broth, shrimp"" at the top of the list. the rule is that higher percentage component in the food goes first. having ocean fish and shrimp is great, as opposed to ""liver or meat-by-product"". in fact, there is no meat-by-product in the list.<br /><br />of course, it's also that my cat likes to eat this. therefore, i subscribe to this on amazon as my cat's regular meal.",positive
received the greenies and immediately gave 1 to each of my dogs. lola chewed hers right away and loved it. lily hides hers and then eats it later. nice size and good price. both dogs enjoy greenies.,positive
"i ordered this teabag sampler after trying a pomegranate tea of this same brand. the item reached me very quick after ordering but, these tea bags are really a waste of money. not at all satisfied with them. they don't have that aroma you would expect from a premium green teas. i would never buy this again.",negative
on the good side it helps me with nighttime leg cramps.<br />on the bad side it gives me diarrhea.<br />trying to change the amount to see if i can lessen the bad results...,neutral
"this is the best hot cocoa i have found so far, but i hope i can find better. it's not real chocolately. wish it were a bit sweeter but on the whole, i would buy it again if i can't find better.",neutral
i love this candy and it is hard to come by this flavor. great price. it is lasting me a long time and i can give away to friends and family. the right way to enjoy chewy spree is to suck on it for 10 to 15 seconds and then chew.,positive
"these drink are good enought that if you are buying them for health you will like them, but don't think they will be a nice treat to have, there is very little flavor in them.",neutral
"i grew up with this can around my house -my parents, like me, are coffee drinkers. somehow it got phased out by my teens but i picked up a can at my local asian supermarket around three months ago.<br /><br />the first couple of cups of this was wonderful, dark, and flavorful. i loved the taste but got bored. then i went back to my columbian coffee. something still wasn't right. now i use a 1:2 ratio of cafe du monde to columbian and haven't looked back. i cannot have my coffee any other way now. my local coffee shops rarely see my face these days because of this small orange can.<br /><br />cafe du monde is coarsely grounded and has a darker brown color than most other coffees. it's not hard to see the difference if you mixed the two in a single can (which i did). coffee addicts need to get a can at least once in their life.",positive
"i bought this because i would buy kirkland (costco's brand) instant mac 'n' cheese and almost always only use the cheese powder as a quick way to make mac n cheese with my favorite pasta. when it came in the mail (quick shipping), i noticed that it has no packaging date, sell by date, or expiration date. i found that a little odd and was iffy to use it but tried it out anyway. from reading other reviews that it tasted similar to them as using store brand powdered cheese, i made my recipe with the usual amount of pasta and put an equal amount of cheese powder as the box would have. it tasted bland to me and my boyfriend. we added more powder but still nothing much. then some salt this time and it was a tad bit better but not much. given the vague packaging of this product and the bland taste of the powder, i'll stick with using individual boxes of mac n cheese powder.",negative
"great at all times of day! i munch a kind bar during the day for a snack or after dinner for dessert. these bars are fulfilling, hitting my sweet tooth and filling me up. a++++",positive
i am satisfied with this product and purchase. the item was delivered earlier than expected. the only draw back was amazon apparently set me up on a revolving delivery account without my request or permission. please be alert for revolving accounts.,positive
"i really enjoyed this iced cappucino, even though it was from a can. poured over ice in a nice clear glass, it looks and tastes like the fresh brewed real deal. i had never tried this before being offered a free vine sample, and now i'm sold.",positive
"from our experience the extra virgin, while very good, is slightly lacking in the flavor and fruitiness of the sicilian also by frantoia and available at a slightly lesser price from amazon. maybe it is just us - what do others think?",positive
